 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      301  0.2660000E+03  0.10000E+01    4      873     0    -5     T
      302  0.2670000E+03  0.10000E+01    2      875     0    -5     T
      303  0.2680000E+03  0.10000E+01    2      877     0    -5     T
      304  0.2685000E+03  0.50000E+00    2      879     0    -5     T
      305  0.2690000E+03  0.50000E+00    2      881     0    -5     T
      306  0.2700000E+03  0.10000E+01    2      883     0    -5     T
      307  0.2710000E+03  0.10000E+01    2      885     0    -5     T
      308  0.2715000E+03  0.50000E+00    2      887     0    -5     T
      309  0.2720000E+03  0.50000E+00    2      889     0    -5     T
      310  0.2725000E+03  0.50000E+00    7      896     0    -5     T
      311  0.2730000E+03  0.50000E+00    5      901     0    -5     T
      312  0.2735000E+03  0.50000E+00    6      907     0    -5     T
      313  0.2740000E+03  0.50000E+00    4      911     0    -5     T
      314  0.2745000E+03  0.50000E+00    4      915     0    -5     T
      315  0.2750000E+03  0.50000E+00    2      917     0    -5     T
      316  0.2755000E+03  0.50000E+00    2      919     0    -5     T
      317  0.2760000E+03  0.50000E+00    2      921     0    -5     T
      318  0.2770000E+03  0.10000E+01    2      923     0    -5     T
      319  0.2775000E+03  0.50000E+00    4      927     0    -5     T
      320  0.2780000E+03  0.50000E+00    4      931     0    -5     T
      321  0.2785000E+03  0.50000E+00    4      935     0    -5     T
      322  0.2790000E+03  0.50000E+00    2      937     0    -5     T
      323  0.2795000E+03  0.50000E+00    5      942     0    -5     T
      324  0.2800000E+03  0.50000E+00    4      946     0    -5     T
      325  0.2805000E+03  0.50000E+00    5      951     0    -5     T
      326  0.2810000E+03  0.50000E+00    4      955     0    -5     T
      327  0.2815000E+03  0.50000E+00    2      957     0    -5     T
      328  0.2820000E+03  0.50000E+00    2      959     0    -5     T
      329  0.2830000E+03  0.10000E+01    2      961     0    -5     T
      330  0.2840000E+03  0.10000E+01    2      963     0    -5     T
      331  0.2845000E+03  0.50000E+00    6      969     0    -5     T
      332  0.2850000E+03  0.50000E+00    4      973     0    -5     T
      333  0.2855000E+03  0.50000E+00    5      978     0    -5     T
      334  0.2860000E+03  0.50000E+00    4      982     0    -5     T
      335  0.2870000E+03  0.10000E+01    3      985     0    -5     T
      336  0.2880000E+03  0.10000E+01    2      987     0    -5     T
      337  0.2885000E+03  0.50000E+00    2      989     0    -5     T
      338  0.2890000E+03  0.50000E+00    2      991     0    -5     T
      339  0.2895000E+03  0.50000E+00    2      993     0    -5     T
      340  0.2900000E+03  0.50000E+00    2      995     0    -5     T
      341  0.2905000E+03  0.50000E+00    4      999     0    -5     T
      342  0.2910000E+03  0.50000E+00    2     1001     0    -5     T
      343  0.2915000E+03  0.50000E+00    4     1005     0    -5     T
      344  0.2920000E+03  0.50000E+00    4     1009     0    -5     T
      345  0.2930000E+03  0.10000E+01    4     1013     0    -5     T
      346  0.2940000E+03  0.10000E+01    2     1015     0    -5     T
      347  0.2950000E+03  0.10000E+01    2     1017     0    -5     T
      348  0.2960000E+03  0.10000E+01    2     1019     0    -5     T
      349  0.2970000E+03  0.10000E+01    2     1021     0    -5     T
      350  0.2980000E+03  0.10000E+01    2     1023     0    -5     T
      351  0.2985000E+03  0.50000E+00    2     1025     0    -5     T
      352  0.2990000E+03  0.50000E+00    2     1027     0    -5     T
      353  0.3000000E+03  0.10000E+01    3     1030     0    -5     T
      354  0.3005000E+03  0.50000E+00    2     1032     0    -5     T
      355  0.3010000E+03  0.50000E+00    2     1034     0    -5     T
      356  0.3020000E+03  0.10000E+01    3     1037     0    -5     T
      357  0.3030000E+03  0.10000E+01    2     1039     0    -5     T
      358  0.3040000E+03  0.10000E+01    2     1041     0    -5     T
      359  0.3050000E+03  0.10000E+01    2     1043     0    -5     T
      360  0.3060000E+03  0.10000E+01    2     1045     0    -5     T
      361  0.3070000E+03  0.10000E+01    2     1047     0    -5     T
      362  0.3080000E+03  0.10000E+01    2     1049     0    -5     T
      363  0.3090000E+03  0.10000E+01    2     1051     0    -5     T
      364  0.3100000E+03  0.10000E+01    2     1053     0    -5     T
      365  0.3110000E+03  0.10000E+01    2     1055     0    -5     T
      366  0.3115000E+03  0.50000E+00    7     1062     0    -5     T
      367  0.3120000E+03  0.50000E+00    6     1068     0    -5     T
      368  0.3125000E+03  0.50000E+00    6     1074     0    -5     T
      369  0.3130000E+03  0.50000E+00    4     1078     0    -5     T
      370  0.3135000E+03  0.50000E+00    4     1082     0    -5     T
      371  0.3140000E+03  0.50000E+00    2     1084     0    -5     T
