 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      45.0000  0.00000E+00  0.00000E+00 -0.50932E-09  0.00000E+00 -0.81379E-03 -0.24008E-01  0.00000E+00 -0.24009E-01  0.00000E+00 -0.39532E-01 -0.43226E+01  0.00000E+00 -0.38209E+01  0.00000E+00  0.00000E+00  0.39489E+00  0.00000E+00  0.11798E-07     47  0.00000E+00      0.000
      46.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.80529E-03 -0.25008E-01  0.00000E+00 -0.25008E-01  0.00000E+00 -0.40337E-01 -0.41147E+01  0.00000E+00 -0.38276E+01  0.00000E+00  0.00000E+00  0.39509E+00  0.00000E+00  0.11798E-07     48  0.00000E+00      0.000
      47.0000  0.00000E+00  0.00000E+00 -0.42201E-09  0.00000E+00 -0.79467E-03 -0.25008E-01  0.00000E+00 -0.25008E-01  0.00000E+00 -0.41132E-01 -0.42586E+01  0.00000E+00 -0.38363E+01  0.00000E+00  0.00000E+00  0.39429E+00  0.00000E+00  0.11798E-07     49  0.00000E+00      0.000
      48.0000  0.00000E+00  0.00000E+00  0.87311E-10  0.00000E+00 -0.78260E-03 -0.25008E-01  0.00000E+00 -0.25008E-01  0.00000E+00 -0.41915E-01 -0.43247E+01  0.00000E+00 -0.38463E+01  0.00000E+00  0.00000E+00  0.39351E+00  0.00000E+00  0.11885E-07     50  0.00000E+00      0.000
      49.0000 -0.30568E-02  0.00000E+00 -0.30568E-02  0.00000E+00 -0.77267E-03 -0.28065E-01  0.00000E+00 -0.28065E-01  0.00000E+00 -0.42687E-01 -0.37139E+01  0.00000E+00 -0.38578E+01  0.00000E+00  0.00000E+00  0.39579E+00  0.00000E+00  0.11885E-07     51  0.00000E+00      0.000
      50.0000  0.00000E+00  0.00000E+00  0.96043E-09  0.00000E+00 -0.76703E-03 -0.28065E-01  0.00000E+00 -0.28065E-01  0.00000E+00 -0.43454E-01 -0.40317E+01  0.00000E+00 -0.38704E+01  0.00000E+00  0.00000E+00  0.39503E+00  0.00000E+00  0.12846E-07     52  0.00000E+00      0.000
      51.0000 -0.83274E-02  0.00000E+00 -0.83274E-02  0.00000E+00 -0.76267E-03 -0.36393E-01  0.00000E+00 -0.36393E-01  0.00000E+00 -0.44217E-01 -0.29622E+01  0.00000E+00 -0.38803E+01  0.00000E+00  0.00000E+00  0.40259E+00  0.00000E+00  0.12846E-07     53  0.00000E+00      0.000
      52.0000 -0.40903E-02  0.00000E+00 -0.40903E-02  0.00000E+00 -0.76097E-03 -0.40483E-01  0.00000E+00 -0.40483E-01  0.00000E+00 -0.44978E-01 -0.30094E+01  0.00000E+00 -0.38845E+01  0.00000E+00  0.00000E+00  0.40592E+00  0.00000E+00  0.12846E-07     54  0.00000E+00      0.000
      53.0000  0.00000E+00  0.00000E+00  0.14552E-08  0.00000E+00 -0.76298E-03 -0.40483E-01  0.00000E+00 -0.40483E-01  0.00000E+00 -0.45741E-01 -0.34526E+01  0.00000E+00 -0.38809E+01  0.00000E+00  0.00000E+00  0.40516E+00  0.00000E+00  0.14301E-07     55  0.00000E+00      0.000
      54.0000  0.00000E+00  0.00000E+00  0.13970E-08  0.00000E+00 -0.76757E-03 -0.40483E-01  0.00000E+00 -0.40483E-01  0.00000E+00 -0.46509E-01 -0.36413E+01  0.00000E+00 -0.38692E+01  0.00000E+00  0.00000E+00  0.40439E+00  0.00000E+00  0.15698E-07     56  0.00000E+00      0.000
      55.0000  0.00000E+00  0.00000E+00 -0.16735E-08  0.00000E+00 -0.77631E-03 -0.40483E-01  0.00000E+00 -0.40483E-01  0.00000E+00 -0.47285E-01 -0.37729E+01  0.00000E+00 -0.38535E+01  0.00000E+00  0.00000E+00  0.40361E+00  0.00000E+00  0.15698E-07     57  0.00000E+00      0.000
      56.0000 -0.20000E-02  0.00000E+00 -0.20000E-02  0.00000E+00 -0.79527E-03 -0.42483E-01  0.00000E+00 -0.42483E-01  0.00000E+00 -0.48080E-01 -0.35441E+01  0.00000E+00 -0.38382E+01  0.00000E+00  0.00000E+00  0.40482E+00  0.00000E+00  0.15698E-07     58  0.00000E+00      0.000
      57.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.81576E-03 -0.43483E-01  0.00000E+00 -0.43483E-01  0.00000E+00 -0.48896E-01 -0.36026E+01  0.00000E+00 -0.38211E+01  0.00000E+00  0.00000E+00  0.40500E+00  0.00000E+00  0.15698E-07     59  0.00000E+00      0.000
      58.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.83631E-03 -0.44483E-01  0.00000E+00 -0.44483E-01  0.00000E+00 -0.49732E-01 -0.36231E+01  0.00000E+00 -0.38042E+01  0.00000E+00  0.00000E+00  0.40517E+00  0.00000E+00  0.15698E-07     60  0.00000E+00      0.000
      59.0000  0.00000E+00  0.00000E+00  0.87311E-09  0.00000E+00 -0.85509E-03 -0.44483E-01  0.00000E+00 -0.44483E-01  0.00000E+00 -0.50587E-01 -0.38083E+01  0.00000E+00 -0.37884E+01  0.00000E+00  0.00000E+00  0.40431E+00  0.00000E+00  0.16571E-07     61  0.00000E+00      0.000
      60.0000  0.00000E+00  0.00000E+00 -0.14988E-08  0.00000E+00 -0.87144E-03 -0.44483E-01  0.00000E+00 -0.44483E-01  0.00000E+00 -0.51459E-01 -0.38894E+01  0.00000E+00 -0.37746E+01  0.00000E+00  0.00000E+00  0.40344E+00  0.00000E+00  0.16571E-07     62  0.00000E+00      0.000
      61.0000 -0.10416E-02  0.00000E+00 -0.10416E-02  0.00000E+00 -0.88462E-03 -0.45525E-01  0.00000E+00 -0.45525E-01  0.00000E+00 -0.52343E-01 -0.37741E+01  0.00000E+00 -0.37630E+01  0.00000E+00  0.00000E+00  0.40360E+00  0.00000E+00  0.16571E-07     63  0.00000E+00      0.000
      62.0000  0.00000E+00  0.00000E+00  0.40745E-09  0.00000E+00 -0.89477E-03 -0.45525E-01  0.00000E+00 -0.45525E-01  0.00000E+00 -0.53238E-01 -0.39348E+01  0.00000E+00 -0.37547E+01  0.00000E+00  0.00000E+00  0.40270E+00  0.00000E+00  0.16978E-07     64  0.00000E+00      0.000
      63.0000  0.00000E+00  0.00000E+00  0.14552E-10  0.00000E+00 -0.90140E-03 -0.45525E-01  0.00000E+00 -0.45525E-01  0.00000E+00 -0.54140E-01 -0.40027E+01  0.00000E+00 -0.37488E+01  0.00000E+00  0.00000E+00  0.40180E+00  0.00000E+00  0.16993E-07     65  0.00000E+00      0.000
      64.0000 -0.40972E-02  0.00000E+00 -0.40972E-02  0.00000E+00 -0.90545E-03 -0.49622E-01  0.00000E+00 -0.49622E-01  0.00000E+00 -0.55045E-01 -0.33919E+01  0.00000E+00 -0.37450E+01  0.00000E+00  0.00000E+00  0.40499E+00  0.00000E+00  0.16993E-07     66  0.00000E+00      0.000
